Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Cat	Class
Copyleft1	LicenciasDobles1	CompatGNU1	CertifOSI1	Patentes1	Libre1	Copyleft1	LicenciasDobles1	CompatGNU1	CertifOSI1	Patentes1	Libre1	Compatibles
0	0	0	1	2	1	0	0	0	0	1	1	1
0	0	0	1	2	1	3	0	1	1	2	1	0
0	0	0	1	2	1	2	1	0	1	2	1	1
0	0	0	1	2	1	0	0	1	1	2	1	1
0	0	0	1	2	1	3	0	0	1	0	0	0
0	0	0	0	1	1	3	0	1	1	2	1	0
0	0	0	0	1	1	2	1	0	1	2	1	1
0	0	0	0	1	1	0	0	1	1	2	1	1
0	0	0	0	1	1	3	0	0	1	0	0	0
0	0	0	0	1	1	0	0	0	1	2	1	1
3	0	1	1	2	1	2	1	0	1	2	1	0
3	0	1	1	2	1	0	0	1	1	2	1	0
3	0	1	1	2	1	3	0	0	1	0	0	0
3	0	1	1	2	1	0	0	0	1	2	1	0
3	0	1	1	2	1	0	0	0	0	1	1	0
2	1	0	1	2	1	0	0	1	1	2	1	1
2	1	0	1	2	1	3	0	0	1	0	0	0
2	1	0	1	2	1	3	0	1	1	2	1	0
2	1	0	1	2	1	0	0	0	0	1	1	1
2	1	0	1	2	1	3	0	1	1	2	1	0
0	0	1	1	2	1	3	0	0	1	0	0	0
0	0	1	1	2	1	2	1	0	1	2	1	1
0	0	1	1	2	1	3	0	1	1	2	1	0
0	0	1	1	2	1	0	0	0	0	1	1	1
0	0	1	1	2	1	0	0	0	1	2	1	1
3	0	0	1	0	0	0	0	0	1	2	1	0
3	0	0	1	0	0	0	0	0	0	1	1	0
3	0	0	1	0	0	3	0	1	1	2	1	0
3	0	0	1	0	0	2	1	0	1	2	1	0
3	0	0	1	0	0	0	0	1	1	2	1	0
